,video_id,video_timestamp,video_duration,video_locationcreated,suggested_words,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified,search_term,year,File Name,Content,Subjectivity/Objectivity
0,7293498330175425838,2023-10-24T08:18:44,55.0,US,"Jerusalem Travel, Israel Travel, Israel Tourism",2190.0,64.0,1155.0,119600.0,"Andrew Here, Hamas is a Palestinian militant organization and political group. It has been designated as a terrorist organization by several countries, including the United States and the European Union. Hamas has been involved in conflicts in the Middle East, particularly in the Israeli-Palestinian conflict, and has a significant presence in the Gaza Strip. Credit @godfreycomedian  #israel #jerusalem #telaviv #israeli #jewish #love #palestine #jesus #instagram #usa #torah #bible #travel #tlv #ig #jew #hebrew #gaza #france #israelinstagram #judaism #photo #god #photography #freepalestine #a #art #italy #shalom #jews",False,,andrew.inthemix,andrew.inthemix,,,,,,False,Hamas,2023,@algerianchad_video_6953651678549658885.txt, Yellow Star,subjective
1,7295920402218437934,2023-10-30T20:57:31,46.0,US,,5390.0,328.0,1450.0,646500.0,23-year-old Israeli hostage Shani Louk was beheaded by Hamas #viral #foryou #israelandpalestine #gaza #idf #hamasterorrist ,False,,elitewin32,elitewin,,,,,,False,Hamas,2023,@dasha.brooke_video_7356613106035936530.txt, Not gonna keep theories!,subjective
2,7291038222619118891,2023-10-17T17:12:11,18.0,US,"mia shem video, mia shem released, mia shem interview, mia shem update, Gaza Is A Prison, mother and son held hostage escape",101900.0,1044.0,23000.0,7200000.0,Hamas releases first video of a 21-year-old hostage held inside Gaza.,False,,staytunednbc,staytunednbc,,,,,,True,Hamas,2023,@cheeseballchick_video_7229844836600253739.txt," We are on the temple amount. This is where the temple went. Hi, hello. Behind me is the temple amount. The temple was there. It's been destroyed multiple times. But what you see is where the temple was. And we were just there. We told people we couldn't revive them and we couldn't pray.",subjective
3,7288477819976387886,2023-10-10T19:36:35,64.0,US,"Mia Khalifas Eric Andre Show, mia, noahglenncarter",224900.0,7072.0,9697.0,3200000.0,Mia Khalifa was just cancelled and lost everything after supporting Hamas #foryou #miakhalifa #hamas #isreal ,False,,noahglenncarter,NoahGlennCarter,,,,,,True,Hamas,2023,@based_israel14_video_7226435478243888386.txt," Je suis devant tous芒頭 Pokemon qui sont devant tous芒頭你是 la Fonde qui sont devant tous芒頭 Pokemon qui sont devant tous芒頭 ao Larry Fonde qui suis devant tous芒頭 hombre, Promised que Marlena Fonde qui sont devant tous芒頭 ister la Fonde qui sont devant tous芒頭 וה sperm Ouais ! Fonde qui sont devant tous芒頭我是 la Fonde qui sont devant tous芒頭",subjective
4,7289256093161803054,2023-10-12T21:56:43,64.0,US,"israel music festival, Israel Tourism",6799.0,411.0,1350.0,592000.0,Israel festival hamas attack #israelwar #warinisrael #israelnews #israelpalestineconflict #israelpalestine #hamasattack #fyp #viral,False,,politicallybrainwashed,Politically brainwashed,,,,,,False,Israeli-Palestinian Conflict,2023,@sammyshiblaq_video_7325672404238306603.txt," My grandma ordered an old history, come here to show me Men in the hood of the back, Palestine gonna be free The occupation won't be dead so you can fuck around and see I got resistance in my blood and that shit loaded in my jeep How you killing all these babies but still talk about some peace Why y'all was banging lids and don't even own I was banging my cool feet and trying to get back home My young insfight tanks with the rocks ain't on rollin' stone They cut the internet, my cousin can't pick up the phone",subjective
5,7301862693428923691,2023-11-15T20:16:39,218.0,US,"interview about oct 7, october 7 israel girl, october 7 footage, oct 7, military body camera combat, body cam movie",17000.0,1082.0,3031.0,765400.0,Body camera video obtained by the IDF from a Hamas militant shows the early moments of the October 7 attack on Israel. CNN’s Oren Liebermann reports. #CNN #News ,False,,cnn,CNN,,,,,,True,Hamas,2023,@wallyrashid_video_7331950954381659438.txt," You don't look Palestinian, maybe you're a leftover of the Romans or crusaders. What should I do to look more Palestinian for you guys? This was a few years ago, should I just go back to this look, was this more Arab enough? Over the past couple years, my hair has been getting lighter and I'm getting weird patches of ginger if I grow out my beard. What about here, do I look more Arab here? Here's me when I really let the Afro do its thing, does that look more Arab for you?",subjective
6,7294820549274996010,2023-10-27T21:49:30,75.0,US,"street interviews, hama explained",88700.0,1583.0,14900.0,2200000.0,But dO YoU CoNdeMn hAmAs tHo? 🥴 #atiftv #fyp #israel #palestine #gaza #hamas #freepalestine #streetinterview #publicinterview #steveinthestreets @atif.tv @atif.tv @atif.tv ,False,,atif.tv,atif.tv,,,,,,False,Hamas,2023,@dianaconforti_video_7286502451958598918.txt," Too afraid, now you storming at my house In the middle of the night I'm trying to breathe Come on I gotta say something with you I'm so much like I'm about to do So I don't wanna say something You've got to have to think You know I'm about to breathe Come on I gotta say something with you I'm so much like I'm about to do So I don't wanna say something You've got to have to think I ain't like I'm about to do I'm about to do I'm about to do I'm about to do I'm about to do I'm about to do I come when I love somebody part of me Don't wanna stay Every time I get too close I just start pushing them away I know I know Maybe I just wanna leave you for They try to leave me first But maybe I don't wanna",subjective
7,7356305925675830560,2024-04-10T14:24:26,34.0,GB,,30300.0,3021.0,3751.0,904100.0,This is the moment Hamas #leader Ismail Haniyeh received news that his sons were killed by an #Israeli air strike in #Gaza.  The Israel Defence Forces confirmed it killed Haniyeh's three sons - claiming they were terrorists.,False,,skynews,Sky News,,,,,,True,Hamas,2023,@yochanan_activist_video_7308274412220861727.txt," Remember the story of the 200 men who dreamed of Jesus and Gaza? Now, we don't know whether or not it happened, but it's reasonable to believe that it didn't. The post itself comes from a pretty well-known apologist named Michael Lakona, and his source is underground Christian ministries. Now, if you dig, if you ask around, you will find nothing about these ministries, you will not find their name, their denomination, their position on the conflict, nothing. And if they exist, we could probably grant that that's for their own safety. But that's the kicker. There's no reason for Christians to be underground in Palestine. It makes sense that there are underground ministries in China and North Korea, because Christians are actually persecuted there. But in the West Bank and Gaza, that's just not the case.",subjective
8,7311047334849252650,2023-12-10T14:17:48,24.0,IL,"Tunnel Of Terror, shared news, tunnel under ocean boulevard, morning news anchor, mattress in tunnels, the slot scene in the underground tunnels, tunnels under the us, news under a desk, the rookie daughter held hostage, mother and son held hostage escape",1239.0,35.0,880.0,113100.0,Share to spread awareness! #newstoday #jewish #hostages #news ,False,,indianaftali,India Naftali,,,,,,False,Hamas,2023,@israel_soldiers_video_7131286865688235266.txt," All the kings and their queens on the throne We were popped champagne and razor toast To all the queens to a fight Oh baby, you're not dancing on your own Disso baby, at the...",subjective
9,7290658319348370730,2023-10-16T16:38:01,83.0,US,"supernova music festival, supernova festival israel 2023, Supernova, israel music festival, supernova firework, nova music festival, supernova explosion, Electronic Music Festival, Survivor, supernova footage",25200.0,1273.0,2946.0,1500000.0,"Survivors from the #Supernova music festival in #Israel describe the first moments of the Oct. 7 attack, and the panic and fear that ensued as Hamas militants began firing on them.",False,,nbcnews,nbcnews,,,,,,True,Hamas,2023,@tololovers_video_7323377719322938666.txt," Israel stands accused of genocide before the world's highest court. South Africa's legal team told the International Court of Justice about death, displacement, and deprivation in Gaza, and framed as part of a larger campaign by Israel against the Palestinian people dating back to 1948. This killing is nothing short of destruction of Palestinian life. It is inflicted deliberately. No one is spared, not even newborn babies. The devastation we submit is intended to and has laid waste to Gaza beyond any acceptable legal, let alone humane justification. Proving the case for genocide will require establishing intent. Here South Africa pointed to statements from top Israeli officials. We are imposing a complete siege on Gaza. There will be no electricity, no food, no water, no fuel, everything will be closed. We are fighting against human animals and we are acting accordingly. Lawyers for South Africa said statements dehumanizing Palestinians and calling for their death and displacement speak for themselves. What state would admit to a genocide that intent? Yet, the distinctive feature of this case has not been the silence as such, but the reiteration and repetition of genocide as speech throughout every sphere of state in Israel. Israel is defending itself in court, claiming its actions are self-defense and justified under the circumstances.",subjective
