video_id,video_timestamp,video_duration,video_locationcreated,suggested_words,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified
7232326139858111790,2023-05-12T11:59:35,42.0,US,"Richard Mille, medical tiktok, Anesthesiologist, doctor, tiktok doctor, Doctor Reacts, Doctor of Medicine, Anesthesiology Experience, Prep Medication, Healthcare Workers",153000.0,1669.0,1075.0,2400000.0,"It’s not inherently bad, it’s the context of how its used. And it is so sad to see the epidemic it has caused outside of the hospital #doctor #hospital #painmedicine #opioids #medicine #healthcare @richardtiktokmille   ",False,,doctormyro,"Dr. Myro Figura, MD",,,,,,False
7199113085502704939,2023-02-11T22:55:46,45.0,US,"carfentanil, car fent, carfentanyl pop tart, what is fent",27000.0,1029.0,423.0,953900.0,The opioid epidemic is no joke. Share this with family and loved ones who need to see it. Reach out if you need help #opioids #opioidepidemic #fent #fentanylkills ,False,,thesoberplug,Connor,,,,,,False
7292480321919159598,2023-10-21T14:28:20,146.0,US,"danielle, Survivor, Danielle Crying On Stage, Danielle Savre, abuse survivor, Danielle Crying Lollapalooza, Survivor South Africa, what is cocsa, ryan and danielle, facing the dark",36800.0,220.0,726.0,1500000.0,#stitch with @Danielle - CSA survivor #csa #cocsa #csam #csasurvivor #csaadvocate ,False,,daniellesadvocacy,Facing the Dark,,,,,,False
7051240934675352879,2022-01-09T11:16:07,17.0,US,,3460.0,40.0,26.0,49600.0,#lgbt #lgbtq #lgbtq🌈 #aids #aidsawareness #lesbian #lesbiansoftiktok #queer #gay #community #caretaker #boostofhope #history #nyc #lgbtqhistory,False,,cruisingpod,Cruising Podcast,,,,,,False
7347472194642988330,2024-03-17T19:05:11,77.0,US,"facebookcomments, ai facebook epidemic, Mark Zuckerberg, ai generated images, ai facebook comments, Digital Content Ai, Ai Photo Generators, Ai Tools, Ai Converting Image, Ai Prompt Images",186500.0,10000.0,2385.0,1700000.0,Interesting developments in facebook Ai epidemic #fyp #facebook #zuckerberg #foryou #socialmedia #fb #internet ,False,,sidemoneytom,SideMoneyTom,,,,,,False
7322927749528636715,2024-01-11T14:39:52,359.0,US,"Jelly Roll, jelly roll cma speech, congress replying to jelly rolls end of speech, jelly roll daughter, jelly roll speech to congress, officialjellyroll, Jelly Roll American Rapper, Young Jelly Roll, Jelly Roll And Bunnie Xo, Bunnie Xo",23700.0,7442.0,319.0,236700.0,Jelly Roll speaks infront of congress about the fentanyl epidemic in our country.  #bunniexo #jellyrollofficial #jellyroll #fentanylkills #fentanylawareness #fentanylcrisis #fentanylfacts #fentanylcrisis #congress #addiction #wedorecover #recovery #recoveryispossible ,False,,3timothylafortune3,Thetruthseeker33,,,,,,False
7283339060368723230,2023-09-26T23:15:28,35.0,US,"Therapy, Orange County, woman, Coastal Town, orange county california, college, Therapy Session, College TikTok, male loneliness, Mental Health Awareness",8902.0,125.0,0.0,150700.0,menospheres should b criminal atp #fyp#foryou#foryoupage#college#rant #vlog#westcoast#BeCyberSmart#tiptok#tiktoktaughtme#stressrelief#mentalhealth#summer#storytime#orangecounty#socal#feral#therapy#healingjourney#selfhelp ,False,,maryjanenotkatev2,mk,,,,,,False
7192723446994947371,2023-01-25T17:40:42,100.0,US,"Gabrielle Union, gabrielle union rap case, unsolved mysteries gabriella union, truth be told show, Gabrielle Union American Actress, gabrielle union unsolved, Gabrielle Union Miss Independent, gabrielle union kept calling, ryan destiny and gabrielle union, gabrielle union movies",568000.0,22400.0,2928.0,5500000.0,“Truth Be Told” actress Gabrielle Union emphasizes the importance of media attention surrounding missing Black girls and women in the U.S.: “This is an epidemic.” #GabrielleUnion #truthbetold ,False,,cbsmornings,CBS Mornings,,,,,,True
7125010806059683115,2022-07-27T07:21:00,90.0,US,,39800.0,878.0,1513.0,644400.0,Effects of the opioid epidemic on US cities #recovery #opioids #opioidepidemic #addiction #opioidcrisis #outreach #USA #Baltimore #harmreduction #NA #AA #Foryoupage #fyp #overdoseprevention,False,,beemorelove,BeeMoreLove,,,,,,False
7298746408738262315,2023-11-07T10:43:55,61.0,US,"Kensington Philadelphia, Stance Cars, Kensington, kensington philadelphia rotting leg woman video, Kensington London, kensington dad passing, Kensington Runway, kensington lock, Kensington Pennsylvania",391.0,168.0,2.0,41100.0,#duet with @Tyler Oliveira #fyp #addiction #tranq#kensington #government ,False,,megagem1,Meg,,,,,,False
