video_id,video_timestamp,video_duration,video_locationcreated,suggested_words,video_diggcount,video_sharecount,video_commentcount,video_playcount,video_description,video_is_ad,video_stickers,author_username,author_name,author_followercount,author_followingcount,author_heartcount,author_videocount,author_diggcount,author_verified
7356305925675830560,2024-04-10T14:24:26,34.0,GB,ismail haniyah,37000.0,3455.0,3929.0,1100000.0,This is the moment Hamas #leader Ismail Haniyeh received news that his sons were killed by an #Israeli air strike in #Gaza.  The Israel Defence Forces confirmed it killed Haniyeh's three sons - claiming they were terrorists.,False,,skynews,Sky News,,,,,,True
7293498330175425838,2023-10-24T08:18:44,55.0,US,"jerusalem travel, Israel Travel, Israel Tourism",2795.0,86.0,1371.0,150500.0,"Andrew Here, Hamas is a Palestinian militant organization and political group. It has been designated as a terrorist organization by several countries, including the United States and the European Union. Hamas has been involved in conflicts in the Middle East, particularly in the Israeli-Palestinian conflict, and has a significant presence in the Gaza Strip. Credit @godfreycomedian  #israel #jerusalem #telaviv #israeli #jewish #love #palestine #jesus #instagram #usa #torah #bible #travel #tlv #ig #jew #hebrew #gaza #france #israelinstagram #judaism #photo #god #photography #freepalestine #a #art #italy #shalom #jews",False,,andrew.inthemix,andrew.inthemix,,,,,,False
7291038222619118891,2023-10-17T17:12:11,18.0,US,"mia shem video, mia shem released, mia shem interview, Gaza Is A Prison",105200.0,1063.0,22900.0,7400000.0,Hamas releases first video of a 21-year-old hostage held inside Gaza.,False,,staytunednbc,staytunednbc,,,,,,True
7295920402218437934,2023-10-30T20:57:31,46.0,US,shani louk full video truck,25300.0,804.0,1630.0,1300000.0,23-year-old Israeli hostage Shani Louk was beheaded by Hamas #viral #foryou #israelandpalestine #gaza #idf #hamasterorrist ,False,,elitewin32,elitewin,,,,,,False
7294820549274996010,2023-10-27T21:49:30,75.0,US,"street interviews, hama explained",88900.0,1596.0,14900.0,2200000.0,But dO YoU CoNdeMn hAmAs tHo? 🥴 #atiftv #fyp #israel #palestine #gaza #hamas #freepalestine #streetinterview #publicinterview #steveinthestreets @atif.tv @atif.tv @atif.tv ,False,,atif.tv,atif.tv,,,,,,False
7295794850992098606,2023-10-30T12:50:29,26.0,US,"israel music festival, Dailymail, music, Electronic Music Festival, shani louk full video truck, nova festival",9905.0,160.0,148.0,959300.0,,False,,onelovenation76,ONELOVENATION76 / M.M.MONTALVO,,,,,,False
7290658319348370730,2023-10-16T16:38:01,83.0,US,"supernova music festival, supernova festival israel 2023, supernova israel festival, supernova, israel music festival, Supernova Firework, nova music festival, supernova explosion, Electronic Music Festival, Survivor",30400.0,1395.0,2809.0,1700000.0,"Survivors from the #Supernova music festival in #Israel describe the first moments of the Oct. 7 attack, and the panic and fear that ensued as Hamas militants began firing on them.",False,,nbcnews,nbcnews,,,,,,True
7289256093161803054,2023-10-12T21:56:43,64.0,US,"israel music festival, Israel Tourism",6844.0,415.0,1379.0,598300.0,Israel festival hamas attack #israelwar #warinisrael #israelnews #israelpalestineconflict #israelpalestine #hamasattack #fyp #viral,False,,politicallybrainwashed,Politically brainwashed,,,,,,False
7288477819976387886,2023-10-10T19:36:35,64.0,US,"Mia Khalifas Eric Andre Show, mia, noahglenncarter",225400.0,7077.0,9600.0,3300000.0,Mia Khalifa was just cancelled and lost everything after supporting Hamas #foryou #miakhalifa #hamas #isreal ,False,,noahglenncarter,NoahGlennCarter,,,,,,True
7343678428962557230,2024-03-07T12:43:41,73.0,US,yoneedapretzel,5907.0,83.0,1753.0,160500.0,Disturbing but unsurprising responses from the pro-Hamas crowd. Via: @yoneedapretzel,False,,israelcc,ICC,,,,,,True
7288529848551640363,2023-10-10T22:58:26,42.0,US,,6093.0,181.0,2686.0,160800.0,Cut it out #israel #palestine #hamas #freepalestine ,False,,lowlyfeleo,LOW LYFE LEO🦁,,,,,,False
7294568265764883754,2023-10-27T05:31:11,12.0,GB,"Interview Questions, bbc accidental interview, israel leader interview",32800.0,1873.0,7447.0,1200000.0,This is the moment a top Hamas spokesman walks out of a BBC News interview when he’s asked how he justifies killing people 🎥 BBC NEWS  #fyp #bbcnews #hamas #israel #palestine #war #shocking #walkout #interview ,False,,dailymail,Daily Mail,,,,,,True
