File Name,Content,Subjectivity/Objectivity
@ladyspinedoc_video_7215348657778920746.txt," What if I told you that your doctor has been an average of 1.2 seconds reviewing your chart before making a medical decision? And by doing that, they were able to make millions of dollars. Would that be okay with you? Signed out one of the United States largest insurance carriers does exactly this. According to an article recently published, there are claims that sigma has a built-in system to allow their doctors to reject insurance claims without even reviewing a patient's chart. Doctors have denied over 300,000 requests in two months using this method. They have an algorithm that will flag mismatches between diagnosis and what they consider an acceptable test. They can then sign off on these denials in large batches. Per reports, they can deny up to 50 requests in 10 seconds. According to insurance laws in many states, a company doctor must review the patient's chart prior to denying medical services. This ultimately leaves patients with large bills and sicknesses that the tests are not medically necessary. Leave your thoughts in the comments section.",subjective
@ladyspinedoc_video_7306868999042665770.txt," seven steps of how you go through appealing an insurance claim denial. If you receive a denial from your insurance company, you have the right to appeal that decision. A denial can be something as simple as your doctor may not have provided the information to your insurance company that they needed to make that approval. Or the diagnosis code did not match the appropriate test that was ordered. So don't just accept that denial, fight it. Step one, find out why your claim was denied. Before you submit an appeal, you need to understand why it was denied. You can request that letter from your insurance company. It may be because the inappropriate documentation was provided by your doctor's office. Your plan may not cover the service that you are asking for. The service may have been deemed medically not necessary. That word literally for me is like nails on a chalkboard. Your plan may not cover that provider or you've reached the maximum coverage of your plan. Step two, contact your insurance company to ask about the appeals process and the steps that you need to take to do so. You'll need to follow these steps very carefully. Step three is call your doctor. If the appropriate paperwork was not submitted or the inappropriate code was provided, your doctor can submit that to get the claim overturned. And if the claim was denied for another reason, you can let your doctor know that you plan on filing an appeal. And your doctor can help you do that. I try to fight for any appeal that I feel like is unnecessary for any of my patients. Step four is collect all the paperwork that you need for the appeal. That may be the denial letter, office visits notes, bills, and other documents related to the service. Your summary of benefits from your insurance company or any other paperwork that you plan to submit on your behalf. Remember, you are your biggest advocate. Step five is submitting an internal appeal. That's a claim directly to your insurance company asking them to overturn that decision. Even though you may be angry or upset, trust me, I am too. Leave your emotions out of that letter and explain exactly why you need coverage. Step six is wait for the results of the internal appeal. That may take up to 30 days. And if it's an urgent appeal for an urgent matter, they have to give you a decision within 72 hours. If the internal appeal is denied, step seven is to file an external appeal. You can submit your case to an independent third party for an external appeal. That's someone that doesn't work for the insurance company that can review your case and give a decision. More information on how to do that should be in your explanation of benefits. And remember, an external appeal costs your insurance company money. The more claims that go through the external appeal may mean better coverage in the future for that particular procedure. That's a 100-foot view on how many patients that file external appeals can actually overturn policy coverage on a particular procedure.",subjective
@what.history_video_7191937591951002926.txt," Deathmasks are super weird. This is Napoleon. This is Frederick Douglass, George Washington, and Abraham Lincoln. Deathmasks are super weird, but back before there was real photography, this was a really common practice. This is Mary Queen of Scots. I wanted to know what a figure looked like while they were actually in their farm and not just a painting. This is the only real way to do it. Teams kind of grossed to us, but this was so common back then, even just normal people had deathmasks made.",subjective
@the.truth.doctor_video_6896601392589376774.txt," Hi, I'm Dr. Courtney Tracy and I decided that rehab did not need to be sterile or stigmatizing so I created my own. We turned our parking lot into a backyard and this is where we run a lot of our groups. My clients are allowed to paint on whatever they'd like to and they're given permission to be their real vulnerable authentic selves. Behind these chalkboard doors is where they learn that they are the most capable creatures on the planet despite their mental health struggles. If you struggle with mental health please know that there are people out there that see you for who you really are and places like this.",subjective
@madmedicine_video_7255365673373682987.txt," So a lot of people have been asking me what is going on in that video. Let me explain. In this video you see a young child who is clearly afraid of drinking water. This is called hydrophobia and this is often a late sign of rabies. You see oftentimes people get rabies because they get bit by a wild or feral animal. And when they get bit, the rabies virus gets transmitted. Initially they are going to have non-specific symptoms like fever or chills. But if rabies is not treated properly, that virus spreads and then they can present with late state symptoms like hydrophobia, which is a fear of drinking water. And it happens because when they drink water, the neck muscles actually spasm and they contract paradoxically, which creates a lot of pain. And because of that reason, they can get very scared of drinking water.",subjective
@altaccount373728638_video_6912599087808384261.txt," Rarar, rascal, jeez, love, or the Russian Queen There was a cat, rat, really was gone Rarar, rascal, jeez, rush the spakers, love machine",subjective
@clinicalresearchjunkie_video_7242060796379893034.txt," Hi everyone, today we're going to be going over the form FDA 1572, which is simply referred to as the 1572. As a research professional, this is one of the most important things to familiarize yourself with. Unless you're working in a regulatory position, you're not going to be the one completing this form, but you still need to understand what it is and why it's important. I started this account to teach people about clinical research, so I think it's important to cover topics that I wish I was taught early in my career. I know it may be difficult to see all the elements of the 1572 on your screen, but you can Google search a copy since it's a public FDA form. To begin, the 1572 is important because it is a legally binding document between the sponsor, the investigator, and FDA. The 1572 is where you will enter all the clinical traumas. Each study site needs to complete one for each clinical trial they're working on. However, if there are several sites working together, like a healthcare system with multiple clinics, then the mean site is the one that completes it. The other sites are referred to as satellite sites and they will be entered under section 3 of the 1572. Now let's start from the top. Section 1 is where the principal investigators information will be at. They are responsible for everything at the site level. Section 2 is where you select how you will prove that the investigator is qualified to run the trial. It will virtually always be the CV because the CD will show their experience. Section 3 is where you would enter the clinics where research will be done. You'll also enter here any pharmacies that are not a part of the clinic. These are called central pharmacies and there were the study drug is shipped and stored. Section 4 is self-explanatory. You'll enter the laboratories that you'll use. You'll also need to enter any central laboratories. These are the laboratories that the study sponsor uses when you ship them specimen samples. Section 5 is where you will enter the institutional review board information. In studies you will mostly use a central IRB chosen by the sponsor but some academic sites will use their local IRBs. Section 6 is where you enter any other doctors and providers that will be working on the study. There are no now sub investigators or sub-is. Mid-level providers can be sub-is but all PIs have to be doctors. Section 7 is where you simply enter the study name. Section 8 is where you select the phase of the study. In clinical trials there are four phases of studies. Comment below if you'd like me to make a separate video explaining the phases. Section 9 is very important. Here is where you will read the investigators' responsibilities as PI. Section 10 is where the PI will sign. It's important to notice that the date format is month, day, year. This format is used in research and if it's not written in this format the sponsor will reject it.",subjective
@buckhorncliffs_video_7325913588831374634.txt," Strap throat, urinary tract infection, pneumonia, a bite wound, bronchitis, tetanus, skin infection, scabies, viral upper respiratory infection. You've got all of the meds you need to treat these. And you've got the information on how to treat these. There's no gatekeeper. You visit the website, purchase, fill out an intake form, and you get the prescriptions prescribed just for you, sent directly to your door. And you need it, you've got it. You get eight emergency medications, and none of these are liquid medications. The actual expiration date is much longer than what's mandated by Uncle Sam. And that's not debatable. I've got the kit. It's part of my self-managed insurance plan, so that I can have control to keep myself and my family protected. I've got a coupon code. It's 10% off right here. True preparedness has your health as priority number one.",subjective
@nadiaselod_video_7332685812108152110.txt," If you are thinking about switching your major to public health and your pre-med, like this is your sign to do it, trust your regard, literally take the advice that you're being given to switch because it has saved me. It has saved me and it has been the biggest blessing in disguise and about to go like on like a little rant and I never talk in this app so like this is how strongly I feel about this because I hate to sound my own voice. Like I can't. I came into UT as a neuroscience major and then before I even took a neuroscience class I had someone, not even someone, I had multiple people tell me like switch to public health like you'll thank me later and honestly this is me thinking you guys because it has helped me in my interviews, it has helped me in my primary and secondary application, it has helped me with my MCAT indirectly and it has helped me build my resume and here's why. Okay with the interviews I just like these guys are looking for not scientists but culturally competent future physicians like being able to discuss like what health disparities you've noticed like during your research and stuff like that and like why you want to do x, y, and z, like your public health background will come in clutch because they're looking for people with empathy that understand that like patient cares complex and there's a lot of factors involved and that's literally what we study so like that's super helpful and then in regards to like schedule and stuff I feel like yes being pre-med is hard but being public health made it doable because in your upper division courses like you can maneuver it where you can I had to take that MCAT twice in the second time around I took I studied for it like during a spring semester my junior year and I would not have been able to do that I was taking like even harder classes that were harder than my pre-med pre-rex like I was able to like have a lighter course or a course load and then like in general just like I felt like I had a little bit more time to like get involved with like leadership and service and stuff like that and research and like that stuff's not to be overlooked like not only is it good for your resume but that's the experiences you've drawn on for your interviews and your primary and secondary applications so if you are thinking about doing it literally just do it like just do it I'm telling you like you will think me later",subjective
@drjeanius_video_7195207165433531694.txt,,
