,File Name,Content,Subjectivity/Objectivity
0,@quotes1z_video_7230180221792652545.txt, Oh my god oh my god,subjective
1,@americanpower24_video_7321065941830225195.txt," The Terminal High Altitude Area Defense, THAD, is an advanced missile defense system designed to intercept and destroy short, medium, and intermediate range ballistic missiles during their terminal phase of flight. Here are key features and details about the THAD Interception Range. THAD is designed to intercept missiles at altitudes, exceeding the Earth's atmosphere during their terminal descending phase of flight. This capability provides a broader defense against various ballistic missile threats. THAD is equipped with a powerful X-band radar and TPI-2 that provides target tracking and discrimination capabilities. Interceptor missiles, the system uses the TAD interceptor, which is designed to destroy incoming missiles through kinetic energy impact. Fire control system, the Fire Control System, coordinates radar data, interceptor launch, and target engagement. Mobility, THAD is highly mobile and transportable. It can be quickly deployed to different locations to provide protection against missile threats. The United States has deployed THAD systems in various locations globally, including South Korea, Guam, and the United Arab Emirates. These deployments are intended to enhance regional missile defense capabilities. THAD is operated by the US Army and is part of the broader missile defense architecture. It is integrated into the missile defense agencies MDA, ballistic missile defense system, BMDS. THAD is often used in conjunction with other missile defense systems, such as the Aegis ballistic missile defense, BMDS system, to provide a multi-layered defense against different types of missile threats. The TAD system has undergone extensive testing to demonstrate its capabilities. TEST scenarios include intercepting ballistic missiles at various ranges and altitudes. The US has worked with allies to integrate THAD into their defense architectures. For example, the deployment of THAD in South Korea is aimed at enhancing regional defense capabilities against North Korean missile threats. The deployment of THAD in certain regions has been a source of controversy, leading to geopolitical tensions. Issues such as sovereignty concerns and potential impacts on regional security have been raised in some instances. THAD continues to undergo improvements and upgrades to address emerging threats and enhance overall performance. The system is part of a dynamic and evolving field of missile defense technologies. THAD is a crucial component of the broader missile defense strategy employed by the United States and its allies to counter ballistic missile threats as with any military technology, developments and deployments may evolve.",objective
2,@ievkka_video_7092245971756797227.txt, Oye y- There you're home We're home We're home Ummhhh Life going practice L la la la lainga,subjective
3,@shockvideoshock_video_7233895769546263834.txt,生活環境,not sure
4,@habibibears_video_7302324090940034347.txt," 5 rules of Yazidi households Number 1, no shoes in the house Number 2, don't sit with your feet facing out Number 3, wait for the head of the house before eating Number 4, never throw none away Number 5, tea is better with sugar",subjective
5,@_kia_rio_3__video_7168070563561311489.txt," [♪""! держed by D. Luther vK'sO Heroes",subjective
6,@60minutes_video_7279951529501527326.txt," Today, the war is fought on a 700 mile front. The red area is the 20 percent of Ukraine still occupied by Russia. This is where Western donated tanks were supposed to punch through, cutting the Russian force in half. But trenches, minefields, and artillery stop the armored advance. Now, it's an artillery duel, with each side firing about 40,000 shells a day. Ukrainian infantry is advancing bloody yards at a time. It's World War I with drones. How would you describe the fighting at the front? It's a difficult question. I'll be completely honest with you. We have the initiative. This is a plus. We stop the Russian offensive and we moved into a counter-offensive. But despite that, it's not very fast. It is important that we are moving forward every day and liberating territory.",subjective
7,@cbsmornings_video_7072409788898118958.txt," This baby boy is whisked into an emergency room. Doctors fight to save his life, but it's too late. His mother and father sobbing and disbelief can barely hold each other up. They kiss their son goodbye.",subjective
8,@pokrov_video_7220702791390465282.txt," Let's go! Okay, ready. Yeah. Coca-Cola. Coca-Cola. Okay. eBay. eBay. eBay. eBay. eBay. eBay. eBay. What? Why eBay? eBay. eBay. eBay. eBay. eBay. There's no why. Why? I don't know. Fanta. Fanta? Fanta. Fanta. Fanta. Fanta. Fanta. Fanta. Uh, uh, uh, Fanta. Uh, uh, uh, Fanta. No, Panta. Fanta. Fanta. You're the only. Leave the time. Leave it on. Leave it on. Yes! Yeah! Okay. Toyota. What? Toyota. Toyota. Not like a Toyota. Toyota. Toyota. Toyota. Toyota. Toyota. Yes!",subjective
9,@kaitlinnvolynets_video_7305606953450114350.txt, We're Russian. We're gonna celebrate by Smoyamata. We're Russian. We're gonna work with work here. We're Russian. We're gonna have a China cabinet in our house. We're Russian. We're not allowed to sit on the corner of a table. Russian. We're gonna offer you tea instead of popping. Russian. We're gonna eat a holiday eggs. Russian. Our moms are gonna wait out for us at night. Russian. We're gonna either play tennis or ballroom dance. Russian. We're gonna sit on the road or sit down in the middle of the school. Russian. We're not gonna come to your house empty handed. Russian. Our grandma's are gonna have Monday to get in their purse. Russian. We're always gonna be dressed up. Russian. We're never gonna cheers with water. Russian. We're a first generation of Americans. Woo!,subjective
10,@johannaruediger_video_7224542154255846682.txt," If you are planning to fly in or out of Germany in June, you might want to rethink that. There could be cancellations, delays, at least between these two dates. NATO will fly its biggest exercise in history right here in the skies over Germany. Why are they doing this? To improve corporations between nations and their armed forces, says NATO. And sure, they are ready to defend at any time. But there won't be a total Luftraum Spell as this comment mentions. The exercise will only last a couple of hours per day, so the rest of the time planes can still take off. And only in certain regions of Germany. But it's unclear yet which flights are affected. So please check with your airline if you are traveling during that time.",subjective
11,@aliyevaal_video_7245310088544554286.txt," It's Sunday morning and you're making a wife's favorite blueberry muffin. You just got back from afar. I try not to get sentimental online, but let me explain why I religiously watched him's videos. I'm from Ukraine and in 2014 I lost my home. Back then I was 16 years old and my dad was actually around the same age as Tim right now. When we still lived in Lohansk my mom used to film absolutely everything. She would film my fights with my sisters, she would film all of the playtime, all of the vacations, we had thousands of videos. When we left our home and we started rebuilding, we lost so many things. My parents lost the business which they've been building for 30 years, we lost our house, we lost our dogs. And the thing which I'm still thinking about today is that we lost those videos. I was so confident that one day I will show them to my grandkids. I wanted not to only capture those moments in my head but I wanted to relieve them and share those happy moments with my family. Ever since 2014 I never felt like home. I lived in amazing places and I've been so privileged to experience those amazing places but I never felt like home. And watching his videos is the closest thing I feel to home because it's this happy feeling which I never experienced since that time. Guys my zodiac sign is cancer that's why I'm like so sentimental the only zodiac sign which is cold after a disease. But I also want to point out that the way people see Ukraine right now is really not who we were. We were simple people who had our big and small dreams. We were enjoying the small things and then we lost the opportunity to enjoy the moment because the only thought in your mind became how do I survive and how do I make sure that my family as well. So I want to thank Tim for making me feel like home when I'm far away from one. I'm sure that one day I will be able to come back and hopefully I will find those videos but in the meantime thank you for making me feel like home far away from home.",subjective
12,@yaninamak__video_6982981577680768262.txt," Teaching Americans you Korean superstitions Hmm someone is thinking about you What? Oh come on you don't know this one If you have hiccups it means that someone is thinking about you And to stop hiccups you just have to guess who it is How? Just start saying the names of the people you know And then when you guess who it is All your hiccups will be just gone on their names Okay Uh, G-Y-A-T-O-K My ex? My ex? My ex? Yes! You see you stuck up to him! I knew he still thinking about me",subjective
13,@charli.hayes_video_7032012400874360069.txt, I'm not really sure how to feel about it,subjective
14,@diedat19_video_7215979491305278725.txt, Mei pad Xin,subjective
15,@unrefugeesuk_video_7211564395254664453.txt," Since the start of the Syrian crisis 12 years ago, more than 14 million people were forced to flee their homes looking for safety. Humanitarian needs are at their highest, and people desperately need help. More than 5.5 million Syrians are still refugees in the five neighbouring countries of Lebanon, Jordan, Turkey, Iraq and Syria, and are slipping further into poverty. The February 6 earthquake exacerbated this fragile and complex situation for millions of vulnerable Syrians and has added more burdens on them as they try and protect and provide for their families. Visit our website to find out more.",subjective
16,@philipdefranco_video_7224598421699579178.txt," Ukraine's joining NATO, with NATO Secretary General visiting Kiev yesterday where he said that Ukraine's rightful place is in NATO, and adding that they belong in the Euro-Atlantic family and that all NATO members have agreed on their eventual admission. At the NATO summit this year, Ukraine will formally ask for membership and security guarantees, and Ukraine thanking NATO for starting negotiations on their eventual entry into the alliance, which it's crazy how Ukraine was never going to be let into NATO a year ago and then Putin willed it into existence. Followed by St. Anneloo,",subjective
