File Name,Content,Subjectivity/Objectivity
@traitor_trump__video_7358502039673998638.txt," I'm a loser, I'm a loser And I'm not but I appear to be On all the love I have from all have lost There is all love I sh-",subjective
@nowthisimpact_video_7348197098854108458.txt," We need to talk about project 2025. He says, you're not going to be a dictator. Are you? I said, don't know, no, other than day one created by Trump's long time allies at the Heritage Foundation, along with more than a hundred other conservative groups. A 920 page document outlines conservatives plan to rescue the country from the grip of the radical left. It means that if Trump is elected, the GOP would attempt to implement over reaching bills like the ones popping up in Florida, Texas, Alabama, and other red states, federally. The document says the GOP will reach its goals by using presidential power to bypass Congress and by destroying what they call the administrative state, which refers to the agencies that try to ensure clean and safe air, food, water, drugs, and consumer products. And that also hold big corporations back for making more money. So that's what Trump means by day one. He plans to fire and replace tens of thousands of government employees who don't agree with them to elevate his power. And yes, he can do that. First, I will immediately reissue my 2020 executive order restoring the president's authority to remove rogue bureaucrats. And I will wield that power very aggressively. All right, let's dive into this document. When I searched the term sex, 133 matches came up. That's obsessive. It explicitly states their goal to rescind regulations prohibiting discrimination on the basis of sexual orientation, gender identity, transgender status, and sex characteristics. So queer people could legally be fired, not hired, refused, serviced, or otherwise discriminated against. It also proposes deleting the term sexual orientation, DEI, gender, gender equality, gender equity, gender awareness, gender sensitive abortion, reproductive health, and reproductive rights from every piece of legislation that exists. That's terrifying because it promotes discrimination against LGBTQI plus and pregnant people. In speaking of pregnant people, it also proposes pushing as hard as possible to protect the unborn in every jurisdiction in America. A.K.A. and National Abortion Band, they plan to go after education too, just like they have in red states. The authors propose eliminating the entire Department of Education, which they say injects racist, anti-American, A-Historical propaganda into America's classrooms. As part of its economic policy, it wants to eliminate regulatory and procedural barriers for companies and prop up the oil industry, which it says is not an environmental problem. This is all just the tip of the iceberg. It's a document filled with endless contradictions going back and forth between ideas of big government and small, going after monopolies but reducing corporate taxes and regulation, saying they're for freedom but policing people's bodies, gender, and sexuality. And, it's a document created by the Heritage Foundation, which has ties to fossil fuel billionaire Charles Koch and is swirling with controversies. Throughout, they dehumanize the left in ways that make me afraid of how much more emboldened far-right Republicans will feel to target vulnerable people.",subjective
@pierrebourneswife1_video_7267619406518177070.txt, Every time I turn my back Is another free neck I can't just don't net net I can't just don't net net I can't just don't net,subjective
@gamvp_video_7358564084079447339.txt, I'm Brandon. I'm a feeling I'm a George. I'm a suburb. I'm here at the outdoor festival. And I just want to follow people that there's been a huge number of burger bridges often targeting D.I. P.O. Street communities to make sure your burger chain is updated and we're going to vote at jane2.org Transvenso.,subjective
@brainrotpolitics_video_7260907709749284139.txt," And you know, I'm sitting here, I'm listening to Pearl. I don't know if she's just plain stupid or she's actually quite intelligent and knows that what she's doing is so sensational that it's going to make her a lot of money. This click bait, this type of racial incitement is profitable on the internet. Pearl will disappear, like many others before her because this is something that's just a moment in time. She's like a train wreck, it's like a car crash. You know you shouldn't be looking at it but you can't take your eyes off him. Hatred is taught, nobody is born like this. And it's not something that we can debate. You can see what her opinions are. Women shouldn't have the right to divorce. She thinks that women should be able to work. She says these gay things about. No, it isn't saying that. That's not what it was about. But there's no rational, please don't interrupt. The irony is she's complaining about being canceled and yet she's on your platform. She has millions of viewers on the internet on social media and she's complaining about being canceled.",subjective
@elsakurt_official_video_7335917032107527455.txt," So how do you propose to fix the problem? Well, listen, when we are talking about a problem of this magnitude, okay? What we have to do first and foremost, full stop? We have to identify the problem. And when we identify the problem, we have to next generate solutions to the problem. Okay? And when we do that, then we can only move on to choosing a solution for that problem. Okay? And then, very important. We have to implement, okay? Implement that solution, right? And when we've done that, when we've taken all of these steps and done all of the things, we are going to evaluate the results of that solution. Okay? And that is how we're going to fix this problem. Okay? You know what I'm saying, yeah? Ha, ha, ha, ha, ha, you're good. Oh, okay.",subjective
@glomoraga_video_7342248401364372779.txt," Hi everybody, Election Day in California, primary election day Tuesday, March 5th. A couple of days away, we're voting for President and we're voting for members of the Democratic Central Committee, if you're Democrat, and then of course the other big race is the Senate race. This is to fill Diane Feinstein's seat for a full term, the lovely Katie Porter, and then I am voting for Adam Schiff because he is a champion for civil rights and fought on the January 6th Committee for all of us. So this is the Democratic folks who want to be Senator and then whoever we pick here will go up against the Republican in November. Also on the ballot, measure one, which is really rare in California, only have one measure on the ballot to help veterans on voting, yes, important. Vote. Look at your primary ballot, study it, and vote.",subjective
@all.us.politicians_video_6904630069717716229.txt, I'll make you feel this way I'm spinning like a ballerina And the yank's done Every time I see you You're the king and baby,subjective
@paigesokolnik_video_7311507008631409963.txt," And why to be seen Was I the night Christmas table I can't do life Please come home first month Please come home first month It's not for Christmas The noon gives time Fend him relations Sins out your tastes Sure as a star, shine or boom",subjective
@thisiscory_video_7294843444638354730.txt," When it comes to our foreign policy, I believe we should strengthen relations with Israel. I think they will be a crucial ally to us in the Middle East. And that is why I am authorizing the sale of defensive weapons to the state of Israel. Gonna sell on some anti-aircraft missiles. The best on the market. Whoa, timeout. I thought we were just gonna sell on some hand-ons. You're talking about selling them some very serious military equipment. Isn't there an embargo on selling Israel that type of stuff? Well, I have a certain fondness for the Israeli people. They have a strengthen that I resolved that I admire. And I believe it is our duty to help protect those people in that dangerous region. Not to mention we have congressional elections right around the corner. It wouldn't necessarily be the worst thing in the world if the Jewish people here in America found out that I was the first US president to sell weapons directly to the state of Israel. If I'm hearing you correctly, are you saying the only reason you're selling weapons to Israel is so you can get more Jewish people here in America to support your party during the midterms? Hey, I never said that. However, when this deal goes through, make sure we are now set in New York City, particularly in Brooklyn, and make sure we are now set in Boko Raton. Well, that was pretty transparent. However, I do want you to be aware that we have some intelligence coming in telling us that Israel is developing its first nuclear facility. Hold up. They're doing what they're now? Let's cut to the chase. Now, a little birdie told me that you all were developing a nuclear facility in Israel. Now, look, I am willing to form a special relationship with Israel. I'm gonna give you weapons and going to give you aid. However, under no circumstances, are you all to be developing nuclear weapons in Israel? Whoa, whoa, whoa, calm down, Kennedy. Okay, you know me better than that. We're not developing nuclear weapons over here. We're developing a nuclear reactor for energy and peaceful purposes, man. Well, if that's true, then you won't mind if we send representatives from America to conduct by-and-you-will inspections of your nuclear facilities. Oh, man, the line is getting fuzzy. I couldn't hear you just now. What did you say about bye? Bye. You saying you're bye? Are you coming out to me, bro? What did you say? You know damn well you hear me. I'm not budging on this, okay? I don't want any nuclear, hanky, panky going on in the Middle East. Okay, okay, I get it. Just hold on for a second. I gotta go take care of something. Hey, who is this? This is Kennedy. Who is this? This is the new prime minister of Israel. The last guy resigned. Really? Why did he resign? Personal reasons, man. He didn't really go into it. Look, I know about all of this back and forth on our nuclear facilities. And I'm willing to agree to some limited inspections every once in a while. You guys can come and look at the front part and the break rooms and stuff like that. I want by annual inspections and I want to see the whole goddamn facility from top to bottom. Okay, listen, clearly you're upset. I can hear that. Why don't I call you back in a few months and we can get this thing sorted out? Okay, fine. Got it. Damn it. Hey, let me speak to the prime minister of Israel. Yeah, this is him. Who is this? This is Johnson. President of the United States. What happened to the last guy? Kennedy, I don't worry about that. Listen, I heard about all this nuclear back and forth between my country and your country. And well, I'm not going to be quite as rigorous as my predecessor was when it comes to these inspections. Now we're going to come in January. Then I see what's going on. And as long as you make sure you clean your room, I think you'll be all right. Johnson, I think this is going to be the start of a very, very, very, very beautiful relationship.",subjective
